gene	log2FC	padj	dataset
ENOX2	-0.515548	0.999906	OLD_GSE52778
ENPEP	-0.759992	1	OLD_GSE52778
ENPP1	-1.31846	0.0185436	OLD_GSE52778
ENPP2	1.02149	0.513263	OLD_GSE52778
ENPP3	0.893867	1	OLD_GSE52778
ENPP4	0.0139685	0.999906	OLD_GSE52778
ENPP5	0.712553	0.999906	OLD_GSE52778
ENPP6	0.749356	1	OLD_GSE52778
ENPP7	-1.79769e+308	1	OLD_GSE52778
ENSA	0.0307687	0.999906	OLD_GSE52778
ENTHD1	0	1	OLD_GSE52778
ENTPD1	0.436412	0.999906	OLD_GSE52778
ENTPD2	2.64984	1	OLD_GSE52778
ENTPD3	-0.298656	0.999906	OLD_GSE52778
ENTPD3-AS1	0.528233	1	OLD_GSE52778
ENTPD4	-0.618985	0.767159	OLD_GSE52778
ENTPD5	-0.313876	0.999906	OLD_GSE52778
ENTPD6	-0.498237	0.999906	OLD_GSE52778
ENTPD7	0.849382	0.999906	OLD_GSE52778
ENTPD8	2.43035	1	OLD_GSE52778
ENY2	-0.147319	0.999906	OLD_GSE52778
EOMES	1.74571	1	OLD_GSE52778
EP300	-0.200873	0.999906	OLD_GSE52778
EP400	0.165609	0.999906	OLD_GSE52778
EP400NL	0.203713	0.999906	OLD_GSE52778
EPAS1	0.606	0.999906	OLD_GSE52778
EPB41	1.01685	0.999906	OLD_GSE52778
EPB41L1	0.107489	0.999906	OLD_GSE52778
EPB41L2	0.263453	0.999906	OLD_GSE52778
EPB41L3	0.339066	0.999906	OLD_GSE52778
EPB41L4A	-0.112709	0.999906	OLD_GSE52778
EPB41L4A-AS1	0.112248	0.999906	OLD_GSE52778
EPB41L4B	0.181505	0.999906	OLD_GSE52778
EPB41L5	-0.22266	0.999906	OLD_GSE52778
EPB42	0	1	OLD_GSE52778
EPB49	0.419665	0.999906	OLD_GSE52778
EPC1	0.0739167	0.999906	OLD_GSE52778
EPC2	0.102223	0.999906	OLD_GSE52778
EPCAM	-2.03273	1	OLD_GSE52778
EPDR1	-0.15518	0.999906	OLD_GSE52778
EPG5	-0.338348	0.999906	OLD_GSE52778
EPGN	-1.79769e+308	1	OLD_GSE52778
EPHA1	0.195716	1	OLD_GSE52778
EPHA10	-0.914697	1	OLD_GSE52778
EPHA2	-0.0549173	0.999906	OLD_GSE52778
EPHA3	0.015899	0.999906	OLD_GSE52778
EPHA4	-1.43674	0.0527535	OLD_GSE52778
EPHA5	1.42946	1	OLD_GSE52778
EPHA6	-1.79769e+308	1	OLD_GSE52778
EPHA7	1.79769e+308	1	OLD_GSE52778
EPHA8	0	1	OLD_GSE52778
EPHB1	-0.248554	1	OLD_GSE52778
EPHB2	1.78747	0.00693894	OLD_GSE52778
EPHB3	1.45113	0.0185436	OLD_GSE52778
EPHB4	0.926844	0.133433	OLD_GSE52778
EPHB6	-1.38882	0.00216758	OLD_GSE52778
EPHX1	0.0973033	0.999906	OLD_GSE52778
EPHX2	0.469279	0.999906	OLD_GSE52778
EPHX3	-0.329578	1	OLD_GSE52778
EPHX4	0.459768	1	OLD_GSE52778
EPM2A	-0.0249956	0.999906	OLD_GSE52778
EPM2AIP1	0.300509	0.999906	OLD_GSE52778
EPN1	-0.207769	0.999906	OLD_GSE52778
EPN2	-0.408544	0.999906	OLD_GSE52778
EPN3	0.707014	1	OLD_GSE52778
EPO	3.08526	1	OLD_GSE52778
EPOR	0.372361	0.999906	OLD_GSE52778
EPPK1	0.53318	1	OLD_GSE52778
EPRS	0.295397	0.999906	OLD_GSE52778
EPS15	-0.112508	0.999906	OLD_GSE52778
EPS15L1	0.211583	0.999906	OLD_GSE52778
EPS8	-0.560663	0.87912	OLD_GSE52778
EPS8L1	-1.36807	1	OLD_GSE52778
EPS8L2	0.120322	0.999906	OLD_GSE52778
EPS8L3	-1.79769e+308	1	OLD_GSE52778
EPSTI1	-0.68283	0.999906	OLD_GSE52778
EPT1	-0.0317769	0.999906	OLD_GSE52778
EPX	0.311071	1	OLD_GSE52778
EPYC	2.69845	1	OLD_GSE52778
ERAL1	-0.196889	0.999906	OLD_GSE52778
ERAP1	0.226059	0.999906	OLD_GSE52778
ERAP2	0.141183	0.999906	OLD_GSE52778
ERAS	0.0709399	1	OLD_GSE52778
ERBB2	-0.191123	0.999906	OLD_GSE52778
ERBB2IP	-0.374132	0.999906	OLD_GSE52778
ERBB3	-0.178576	1	OLD_GSE52778
ERBB4	-0.139673	1	OLD_GSE52778
ERC1	-0.0471568	0.999906	OLD_GSE52778
ERC2	1.48892	1	OLD_GSE52778
ERCC1	0.0228027	0.999906	OLD_GSE52778
ERCC2	-0.306053	0.999906	OLD_GSE52778
ERCC3	-0.0220108	0.999906	OLD_GSE52778
ERCC4	-0.00135712	0.999906	OLD_GSE52778
ERCC5	-0.234135	0.999906	OLD_GSE52778
ERCC6	0.269899	0.999906	OLD_GSE52778
ERCC6L	0.900994	1	OLD_GSE52778
ERCC8	0.233696	0.999906	OLD_GSE52778
EREG	0.440727	1	OLD_GSE52778
ERF	0.0511827	0.999906	OLD_GSE52778
ERG	-0.179482	1	OLD_GSE52778
ERGIC1	-0.743345	0.455819	OLD_GSE52778
ERGIC2	-0.106703	0.999906	OLD_GSE52778
ERGIC3	0.0801554	0.999906	OLD_GSE52778
ERH	0.0834843	0.999906	OLD_GSE52778
ERI1	-0.0185894	0.999906	OLD_GSE52778
ERI2	0.412687	0.999906	OLD_GSE52778
ERI3	-0.120802	0.999906	OLD_GSE52778
ERICH1	-0.377626	0.999906	OLD_GSE52778
ERLEC1	-0.201663	0.999906	OLD_GSE52778
ERLIN1	-0.000762336	0.999906	OLD_GSE52778
ERLIN2	0.40776	0.999906	OLD_GSE52778
ERMAP	0.370175	0.999906	OLD_GSE52778
ERMN	-1.79769e+308	1	OLD_GSE52778
ERMP1	-0.283653	0.999906	OLD_GSE52778
ERN1	0.0260959	0.999906	OLD_GSE52778
ERN2	0.0783179	1	OLD_GSE52778
ERO1L	-0.256215	0.999906	OLD_GSE52778
ERO1LB	-0.439852	0.999906	OLD_GSE52778
ERP27	-2.11662	0.510992	OLD_GSE52778
ERP29	0.113755	0.999906	OLD_GSE52778
ERP44	-0.199625	0.999906	OLD_GSE52778
ERRFI1	-2.4313	1.08018e-10	OLD_GSE52778
ERV3-1	0.632874	0.999906	OLD_GSE52778
ERVFRD-1	0	1	OLD_GSE52778
ERVK13-1	0.457095	0.999906	OLD_GSE52778
ERVMER34-1	-2.63241	1	OLD_GSE52778
ERVV-1	1.79769e+308	1	OLD_GSE52778
ERVV-2	1.79769e+308	1	OLD_GSE52778
ESAM	-0.188636	1	OLD_GSE52778
ESCO1	-0.169705	0.999906	OLD_GSE52778
ESCO2	0.490655	1	OLD_GSE52778
ESD	-0.0958352	0.999906	OLD_GSE52778
ESF1	-0.159155	0.999906	OLD_GSE52778
ESM1	0.868494	0.999906	OLD_GSE52778
ESPL1	0.12502	1	OLD_GSE52778
ESPN	-1.79769e+308	1	OLD_GSE52778
ESPNL	0.613329	0.999906	OLD_GSE52778
ESPNP	0	1	OLD_GSE52778
ESR1	1.62666	1	OLD_GSE52778
ESR2	1.88645	1	OLD_GSE52778
ESRG	-1.79769e+308	1	OLD_GSE52778
ESRP1	0.558999	1	OLD_GSE52778
ESRP2	-0.116138	1	OLD_GSE52778
ESRRA	-0.193342	0.999906	OLD_GSE52778
ESRRB	-0.311886	1	OLD_GSE52778
ESRRG	-0.911201	1	OLD_GSE52778
ESX1	0	1	OLD_GSE52778
ESYT1	-0.0315338	0.999906	OLD_GSE52778
ESYT2	-0.526031	0.999906	OLD_GSE52778
ESYT3	-1.04996	1	OLD_GSE52778
ETAA1	-0.182979	0.999906	OLD_GSE52778
ETF1	-0.312191	0.999906	OLD_GSE52778
ETFA	-0.292509	0.999906	OLD_GSE52778
ETFB	0.0253038	0.999906	OLD_GSE52778
ETFDH	0.333932	0.999906	OLD_GSE52778
ETHE1	0.392712	0.999906	OLD_GSE52778
ETNK1	-0.259487	0.999906	OLD_GSE52778
ETNK2	-0.481188	0.999906	OLD_GSE52778
ETS1	-0.194245	0.999906	OLD_GSE52778
ETS2	0.0191073	0.999906	OLD_GSE52778
ETV1	0.293144	0.999906	OLD_GSE52778
ETV2	0.0433736	1	OLD_GSE52778
ETV3	-0.0574766	0.999906	OLD_GSE52778
ETV3L	0.113792	1	OLD_GSE52778
ETV4	-0.276396	0.999906	OLD_GSE52778
ETV5	-0.798298	0.472983	OLD_GSE52778
ETV6	-0.205384	0.999906	OLD_GSE52778
ETV7	0.745637	0.999906	OLD_GSE52778
EVC	0.126993	0.999906	OLD_GSE52778
EVC2	-0.324927	0.999906	OLD_GSE52778
EVI2A	1.34193	0.999906	OLD_GSE52778
EVI2B	0.422708	0.999906	OLD_GSE52778
EVI5	-0.160116	0.999906	OLD_GSE52778
EVI5L	0.335247	0.999906	OLD_GSE52778
EVL	0.274141	0.999906	OLD_GSE52778
EVPL	1.79769e+308	1	OLD_GSE52778
EVPLL	1.79769e+308	1	OLD_GSE52778
EVX1	0	1	OLD_GSE52778
EVX2	0	1	OLD_GSE52778
EWSR1	-0.337285	0.999906	OLD_GSE52778
EXD1	-1.79769e+308	1	OLD_GSE52778
EXD2	-0.208135	0.999906	OLD_GSE52778
EXD3	-0.124378	0.999906	OLD_GSE52778
EXO1	0.0334705	1	OLD_GSE52778
EXOC1	0.0164831	0.999906	OLD_GSE52778
EXOC2	0.0110303	0.999906	OLD_GSE52778
EXOC3	0.0286049	0.999906	OLD_GSE52778
EXOC3L1	1.95081	1	OLD_GSE52778
EXOC3L2	1.34208	1	OLD_GSE52778
EXOC3L4	2.01956	1	OLD_GSE52778
EXOC4	0.0824033	0.999906	OLD_GSE52778
EXOC5	-0.015641	0.999906	OLD_GSE52778
EXOC6	-0.25204	0.999906	OLD_GSE52778
EXOC6B	0.444401	0.999906	OLD_GSE52778
EXOC7	0.299265	0.999906	OLD_GSE52778
EXOC8	-0.209294	0.999906	OLD_GSE52778
EXOG	-0.643596	0.999906	OLD_GSE52778
EXOSC1	0.166601	0.999906	OLD_GSE52778
EXOSC10	-0.682033	0.535307	OLD_GSE52778
EXOSC2	0.197217	0.999906	OLD_GSE52778
EXOSC3	-0.0830673	0.999906	OLD_GSE52778
EXOSC4	0.16156	0.999906	OLD_GSE52778
EXOSC5	-0.184042	0.999906	OLD_GSE52778
EXOSC6	0.387316	0.999906	OLD_GSE52778
EXOSC7	-0.1939	0.999906	OLD_GSE52778
EXOSC8	0.0957711	0.999906	OLD_GSE52778
EXOSC9	-0.729056	0.999906	OLD_GSE52778
EXPH5	-0.19395	0.999906	OLD_GSE52778
EXT1	0.82814	0.239751	OLD_GSE52778
EXT2	0.0417628	0.999906	OLD_GSE52778
EXTL1	0.245205	0.999906	OLD_GSE52778
EXTL2	0.412664	0.999906	OLD_GSE52778
EXTL3	-0.144102	0.999906	OLD_GSE52778
EYA1	1.03552	0.999906	OLD_GSE52778
EYA2	-0.171578	0.999906	OLD_GSE52778
EYA3	0.0293014	0.999906	OLD_GSE52778
EYA4	0.479549	0.999906	OLD_GSE52778
EYS	-0.377312	1	OLD_GSE52778
EZH1	-0.336376	0.999906	OLD_GSE52778
EZH2	0.860727	0.999906	OLD_GSE52778
EZR	-0.0357245	0.999906	OLD_GSE52778
F10	-0.774751	0.798757	OLD_GSE52778
F11	0	1	OLD_GSE52778
F11R	-0.461572	0.999906	OLD_GSE52778
F12	0.252876	1	OLD_GSE52778
F13A1	0	1	OLD_GSE52778
F13B	0	1	OLD_GSE52778
F2	1.79769e+308	1	OLD_GSE52778
F2R	-0.273688	0.999906	OLD_GSE52778
F2RL1	0.198525	0.999906	OLD_GSE52778
F2RL2	0.354816	0.999906	OLD_GSE52778
F2RL3	0.438861	1	OLD_GSE52778
F3	-0.570801	0.999906	OLD_GSE52778
F5	0.0995241	1	OLD_GSE52778
F7	-0.68414	1	OLD_GSE52778
F8	0.133887	0.999906	OLD_GSE52778
F8A1,F8A2	-0.237968	0.999906	OLD_GSE52778
F8A2	-0.237968	1	OLD_GSE52778
F9	0	1	OLD_GSE52778
FA2H	0	1	OLD_GSE52778
FAAH	-0.274111	0.999906	OLD_GSE52778
FAAH2	0.549441	1	OLD_GSE52778
FABP1	1.79769e+308	1	OLD_GSE52778
FABP12	0	1	OLD_GSE52778
FABP2	-2.97585	1	OLD_GSE52778
FABP3	0.72071	0.999906	OLD_GSE52778
FABP4	-3.36911	0.456449	OLD_GSE52778
FABP5	-0.532403	0.999906	OLD_GSE52778
FABP5P3	3.13237	1	OLD_GSE52778
FABP6	0	1	OLD_GSE52778
FABP7	1.54636	1	OLD_GSE52778
FABP9	0	1	OLD_GSE52778
FADD	0.0153038	0.999906	OLD_GSE52778
FADS1	0.0258186	0.999906	OLD_GSE52778
FADS2	-0.100534	0.999906	OLD_GSE52778
FADS3	-1.05012	0.0410725	OLD_GSE52778
FADS6	0	1	OLD_GSE52778
FAF1	-0.0836503	0.999906	OLD_GSE52778
FAF2	-0.0668536	0.999906	OLD_GSE52778
FAH	0.393084	0.999906	OLD_GSE52778
FAHD1	0.0953845	0.999906	OLD_GSE52778
FAHD2A	0.0123211	0.999906	OLD_GSE52778
FAHD2B	-0.257784	0.999906	OLD_GSE52778
FAIM	-0.39837	0.999906	OLD_GSE52778
FAIM2	1.6669	0.0777523	OLD_GSE52778
FAIM3	-1.81438	0.777868	OLD_GSE52778
FAM100A	-0.722796	0.913912	OLD_GSE52778
FAM100B	-0.814736	0.569942	OLD_GSE52778
FAM101A,ZNF664-FAM101A	0	1	OLD_GSE52778
FAM101B	-0.779557	0.320116	OLD_GSE52778
FAM102A	0.914317	0.207966	OLD_GSE52778
FAM102B	0.436862	0.999906	OLD_GSE52778
FAM103A1	-0.302889	0.999906	OLD_GSE52778
FAM104A	-0.0245559	0.999906	OLD_GSE52778
FAM104B	0.182579	0.999906	OLD_GSE52778
FAM105A	-2.5071	1	OLD_GSE52778
FAM105B	-0.158128	0.999906	OLD_GSE52778
FAM106A	0.613584	1	OLD_GSE52778
FAM106CP	0.167256	0.999906	OLD_GSE52778
FAM107A	-4.66617	6.96821e-06	OLD_GSE52778
FAM107B	1.01221	0.0529718	OLD_GSE52778
FAM108A1	-0.192688	0.999906	OLD_GSE52778
FAM108B1	-0.429414	0.999906	OLD_GSE52778
FAM108C1	-0.573321	0.999906	OLD_GSE52778
FAM109A	-0.471183	0.999906	OLD_GSE52778
FAM109B	-0.217651	0.999906	OLD_GSE52778
FAM110A	-0.33012	0.999906	OLD_GSE52778
FAM110B	0.334841	0.999906	OLD_GSE52778
FAM110C	1.30647	1	OLD_GSE52778
FAM110D	0	1	OLD_GSE52778
FAM111A	-0.0228797	0.999906	OLD_GSE52778
FAM111B	0.70963	1	OLD_GSE52778
FAM113A	0.0484972	0.999906	OLD_GSE52778
FAM113B	-0.237666	0.999906	OLD_GSE52778
FAM114A1	0.0799161	0.999906	OLD_GSE52778
FAM114A2	-0.0483666	0.999906	OLD_GSE52778
FAM115A	0.0765273	0.999906	OLD_GSE52778
FAM115C	-0.711358	0.999906	OLD_GSE52778
FAM116A	-0.569484	0.999906	OLD_GSE52778
FAM116B	0.0412862	0.999906	OLD_GSE52778
FAM117A	0.419697	0.999906	OLD_GSE52778
FAM117B	0.341709	0.999906	OLD_GSE52778
FAM118A	0.427507	0.999906	OLD_GSE52778
FAM118B	0.0909185	0.999906	OLD_GSE52778
FAM120A	-0.134176	0.999906	OLD_GSE52778
FAM120AOS	0.0244118	0.999906	OLD_GSE52778
FAM120B	-0.0452576	0.999906	OLD_GSE52778
FAM120C	-0.424652	0.999906	OLD_GSE52778
FAM122A	0.319385	0.999906	OLD_GSE52778
FAM122B	-0.372979	0.999906	OLD_GSE52778
FAM122C	0.203688	0.999906	OLD_GSE52778
FAM123A	0	1	OLD_GSE52778
FAM123B	0.0388166	0.999906	OLD_GSE52778
FAM123C	0	1	OLD_GSE52778
FAM124A	-0.717765	0.957471	OLD_GSE52778
FAM124B	-1.79769e+308	1	OLD_GSE52778
FAM125A	-0.229223	0.999906	OLD_GSE52778
FAM125B	0.124791	0.999906	OLD_GSE52778
FAM126A	-0.123349	0.999906	OLD_GSE52778
FAM126B	0.0306279	0.999906	OLD_GSE52778
FAM127A	-0.22026	0.999906	OLD_GSE52778
FAM127B	-0.198336	0.999906	OLD_GSE52778
FAM127C	0.031374	0.999906	OLD_GSE52778
FAM129A	0.771829	0.342086	OLD_GSE52778
FAM129B	-0.684577	0.945192	OLD_GSE52778
FAM129C	0.417919	1	OLD_GSE52778
FAM131A	-0.422544	0.999906	OLD_GSE52778
FAM131B	0.406848	0.999906	OLD_GSE52778
FAM131C	-0.684909	1	OLD_GSE52778
FAM132A	-0.21435	1	OLD_GSE52778
FAM133A	0.542696	1	OLD_GSE52778
FAM133B	-0.153019	0.999906	OLD_GSE52778
FAM134A	0.0800711	0.999906	OLD_GSE52778
FAM134B	-0.479121	1	OLD_GSE52778
FAM134C	-0.309471	0.999906	OLD_GSE52778
FAM135A	0.156308	0.999906	OLD_GSE52778
FAM135B	0	1	OLD_GSE52778
FAM136A	-0.181343	0.999906	OLD_GSE52778
FAM138A	1.71858	1	OLD_GSE52778
FAM138B	0.567834	1	OLD_GSE52778
FAM138C	1.27204	1	OLD_GSE52778
FAM138D	4.28162	1	OLD_GSE52778
FAM138E	1.96169	1	OLD_GSE52778
FAM138F	1.71858	1	OLD_GSE52778
FAM13A	-0.0684904	0.999906	OLD_GSE52778
FAM13A-AS1	-0.617011	1	OLD_GSE52778
FAM13B	-0.040798	0.999906	OLD_GSE52778
FAM13C	1.10249	0.999906	OLD_GSE52778
FAM149A	0.983167	0.999906	OLD_GSE52778
FAM149B1	0.111964	0.999906	OLD_GSE52778
FAM150A	0.208629	0.999906	OLD_GSE52778
FAM150B	-2.19268	1	OLD_GSE52778
FAM151A	-1.36776	1	OLD_GSE52778
FAM151B	0.470874	0.999906	OLD_GSE52778
FAM153A	-1.79769e+308	1	OLD_GSE52778
FAM153B	-1.40512	1	OLD_GSE52778
FAM153C	-1.72943	1	OLD_GSE52778
FAM154A	0.55714	1	OLD_GSE52778
FAM154B	0.709141	1	OLD_GSE52778
FAM155A	0.314476	0.999906	OLD_GSE52778
FAM155B	0	1	OLD_GSE52778
FAM156A,FAM156B	-0.178288	0.999906	OLD_GSE52778
FAM156B	-0.114646	0.999906	OLD_GSE52778
FAM157A	1.53323	1	OLD_GSE52778
FAM157B	-0.258874	1	OLD_GSE52778
FAM158A	-0.235801	0.999906	OLD_GSE52778
FAM159A	-0.157128	1	OLD_GSE52778
FAM159B	1.79769e+308	1	OLD_GSE52778
FAM160A1	-2.00067	1	OLD_GSE52778
FAM160A2	-0.0747176	0.999906	OLD_GSE52778
FAM160B1	-0.0619436	0.999906	OLD_GSE52778
FAM160B2	-0.173246	0.999906	OLD_GSE52778
FAM161A	0.213587	0.999906	OLD_GSE52778
FAM161B	0.695957	0.999906	OLD_GSE52778
FAM162A	0.210137	0.999906	OLD_GSE52778
FAM162B	-0.944295	0.999906	OLD_GSE52778
FAM163A	1.79769e+308	1	OLD_GSE52778
FAM163B	0	1	OLD_GSE52778
FAM165B	-0.223082	0.999906	OLD_GSE52778
FAM166A	0.401427	1	OLD_GSE52778
FAM166B	0.168062	1	OLD_GSE52778
FAM167A	-1.00238	0.999906	OLD_GSE52778
FAM167B	-0.102888	0.999906	OLD_GSE52778
FAM168A	0.411156	0.999906	OLD_GSE52778
FAM168B	0.0343742	0.999906	OLD_GSE52778
FAM169A	-0.113819	1	OLD_GSE52778
FAM169B	-1.18075	1	OLD_GSE52778
FAM170A	-1.79769e+308	1	OLD_GSE52778
FAM170B	0	1	OLD_GSE52778
FAM171A1	0.666307	0.805285	OLD_GSE52778
FAM171A2	0.946033	0.472983	OLD_GSE52778
FAM171B	1.35514	0.00568127	OLD_GSE52778
FAM172A	0.0102958	0.999906	OLD_GSE52778
FAM172BP	-14.5489	1	OLD_GSE52778
FAM173A	-0.26547	0.999906	OLD_GSE52778
FAM173B	0.268909	0.999906	OLD_GSE52778
FAM174A	-0.410435	0.999906	OLD_GSE52778
FAM174B	-0.859195	0.999906	OLD_GSE52778
FAM175A	0.185087	0.999906	OLD_GSE52778
FAM175B	-0.180957	0.999906	OLD_GSE52778
FAM176A	0.345392	0.999906	OLD_GSE52778
FAM176B	0.0248062	0.999906	OLD_GSE52778
FAM177A1	-0.43711	0.999906	OLD_GSE52778
FAM177B	1.79769e+308	1	OLD_GSE52778
FAM178A	0.188499	0.999906	OLD_GSE52778
FAM178B	0.526606	1	OLD_GSE52778
FAM179A	-1.2753	1	OLD_GSE52778
FAM179B	0.0900776	0.999906	OLD_GSE52778
FAM180A	-0.809369	0.264	OLD_GSE52778
FAM180B	2.32845	1	OLD_GSE52778
FAM181A	0	1	OLD_GSE52778
FAM181A-AS1	0	1	OLD_GSE52778
FAM181B	-1.89397	1	OLD_GSE52778
FAM182A	0.2121	1	OLD_GSE52778
FAM182B	-0.0540445	1	OLD_GSE52778
FAM183A	0.752503	1	OLD_GSE52778
FAM183B	-1.5688	1	OLD_GSE52778
FAM184A	0.856072	1	OLD_GSE52778
FAM184B	-0.535411	0.999906	OLD_GSE52778
FAM185A	0.539393	0.999906	OLD_GSE52778
FAM186A	-0.466418	1	OLD_GSE52778
FAM186B	0.589227	1	OLD_GSE52778
FAM187B	0	1	OLD_GSE52778
FAM188A	-0.0291311	0.999906	OLD_GSE52778
FAM188B	-0.0787518	0.999906	OLD_GSE52778
FAM189A1	-0.712692	1	OLD_GSE52778
FAM189A2	-2.88891	1	OLD_GSE52778
FAM189B	-0.285875	0.999906	OLD_GSE52778
FAM18A	1.64934	1	OLD_GSE52778
FAM18B1	-0.135882	0.999906	OLD_GSE52778
FAM18B2	0.660478	0.999906	OLD_GSE52778
FAM18B2-CDRT4	-0.0182822	0.999906	OLD_GSE52778
FAM190A	-1.79769e+308	1	OLD_GSE52778
FAM190B	0.0642077	0.999906	OLD_GSE52778
FAM192A	-0.0701071	0.999906	OLD_GSE52778
FAM193A	0.0217573	0.999906	OLD_GSE52778
FAM193B	0.134797	0.999906	OLD_GSE52778
FAM194A	1.32798	1	OLD_GSE52778
FAM194B	0	1	OLD_GSE52778
FAM195A	0.118594	0.999906	OLD_GSE52778
FAM195B	-0.0304386	0.999906	OLD_GSE52778
FAM196A	-2.34747	0.999906	OLD_GSE52778
FAM196B	0.989191	0.999906	OLD_GSE52778
FAM197Y2P	0	1	OLD_GSE52778
FAM197Y5	0	1	OLD_GSE52778
FAM198A	-0.994985	0.84505	OLD_GSE52778
FAM198B	-1.06707	0.105486	OLD_GSE52778
FAM199X	-0.17165	0.999906	OLD_GSE52778
FAM19A1	-0.154071	1	OLD_GSE52778
FAM19A2	-0.427959	1	OLD_GSE52778
FAM19A3	3.92889	1	OLD_GSE52778
FAM19A4	-1.79769e+308	1	OLD_GSE52778
FAM19A5	-0.0575269	1	OLD_GSE52778
FAM200A	0.184756	0.999906	OLD_GSE52778
FAM200B	-0.175918	0.999906	OLD_GSE52778
FAM201A	0	1	OLD_GSE52778
FAM203A	-0.011394	0.999906	OLD_GSE52778
FAM204A	0.219183	0.999906	OLD_GSE52778
FAM205A	0.6579	1	OLD_GSE52778
FAM205B	1.34005	1	OLD_GSE52778
FAM206A	0.178878	0.999906	OLD_GSE52778
FAM207A	-0.932294	0.999906	OLD_GSE52778
FAM208A	-0.0215967	0.999906	OLD_GSE52778
FAM208B	-0.0471923	0.999906	OLD_GSE52778
FAM209A	0.100972	1	OLD_GSE52778
FAM209B	-0.11582	1	OLD_GSE52778
FAM20A	-1.12197	0.0503154	OLD_GSE52778
FAM20B	-0.220691	0.999906	OLD_GSE52778
FAM20C	-1.00439	0.0646039	OLD_GSE52778
FAM210A	-0.0421689	0.999906	OLD_GSE52778
FAM210B	0.0210868	0.999906	OLD_GSE52778
FAM211A	0.913032	0.999906	OLD_GSE52778
FAM211B	0.299341	0.999906	OLD_GSE52778
FAM212A	-0.142031	0.999906	OLD_GSE52778
FAM212B	0.0926175	0.999906	OLD_GSE52778
FAM213A	0.0196541	0.999906	OLD_GSE52778
FAM213B	-0.215381	0.999906	OLD_GSE52778
FAM214A	0.0724997	0.999906	OLD_GSE52778
FAM214B	0.146557	0.999906	OLD_GSE52778
FAM215A	1.79769e+308	1	OLD_GSE52778
FAM216A	-0.0510833	0.999906	OLD_GSE52778
FAM216B	3.42062	1	OLD_GSE52778
FAM217A	0	1	OLD_GSE52778
FAM217B	0.119336	0.999906	OLD_GSE52778
FAM21A	-0.0660928	0.999906	OLD_GSE52778
FAM21B	-0.286986	0.999906	OLD_GSE52778
FAM21C	-0.0432924	0.999906	OLD_GSE52778
FAM22A	-0.0656564	0.999906	OLD_GSE52778
FAM22D	0.117524	0.999906	OLD_GSE52778
FAM22F	0.431734	1	OLD_GSE52778
FAM22G	0.358071	1	OLD_GSE52778
FAM24A	0	1	OLD_GSE52778
FAM24B	0.285569	0.999906	OLD_GSE52778
FAM24B-CUZD1	-0.632603	1	OLD_GSE52778
FAM25A	0.509859	1	OLD_GSE52778
FAM25B	0	1	OLD_GSE52778
FAM25C	0	1	OLD_GSE52778
FAM26D	-1.79769e+308	1	OLD_GSE52778
FAM26E	-0.238088	0.999906	OLD_GSE52778
FAM26F	0.152162	1	OLD_GSE52778
FAM27A	0.132425	1	OLD_GSE52778
FAM27B	-0.229195	1	OLD_GSE52778
FAM27C	-0.321164	1	OLD_GSE52778
FAM27L	0	1	OLD_GSE52778
FAM32A	-0.263216	0.999906	OLD_GSE52778
FAM35A	-0.483373	0.999906	OLD_GSE52778
FAM35B	-0.483152	0.999906	OLD_GSE52778
FAM35B2	-0.218651	0.999906	OLD_GSE52778
FAM3A	-0.264976	0.999906	OLD_GSE52778
FAM3B	0	1	OLD_GSE52778
FAM3C	-0.459214	0.999906	OLD_GSE52778
FAM3D	0	1	OLD_GSE52778
FAM40A	-0.0433394	0.999906	OLD_GSE52778
FAM40B	0.617	0.999906	OLD_GSE52778
FAM41AY1	0	1	OLD_GSE52778
FAM41AY2	0	1	OLD_GSE52778
FAM41C	0.493235	1	OLD_GSE52778
FAM43A	-1.21284	0.0290688	OLD_GSE52778
FAM43B	0.70456	1	OLD_GSE52778
FAM45A	-1.25905	0.91021	OLD_GSE52778
FAM45B	0.0357686	0.999906	OLD_GSE52778
FAM46A	1.22261	0.0427496	OLD_GSE52778
FAM46B	-2.31732	0.0291761	OLD_GSE52778
FAM46C	2.5442	0.00963094	OLD_GSE52778
FAM46D	1.79769e+308	1	OLD_GSE52778
FAM47A	0	1	OLD_GSE52778
FAM47B	0	1	OLD_GSE52778
FAM47C	0	1	OLD_GSE52778
FAM47E	0.202753	1	OLD_GSE52778
FAM47E-STBD1	1.3223	1	OLD_GSE52778
FAM48A	0.242579	0.999906	OLD_GSE52778
FAM48B1	1.79769e+308	1	OLD_GSE52778
FAM48B2	1.79769e+308	1	OLD_GSE52778
FAM49A	0.927508	0.452562	OLD_GSE52778
FAM49B	-0.138585	0.999906	OLD_GSE52778
FAM50A	-0.305029	0.999906	OLD_GSE52778
FAM50B	-0.305894	0.999906	OLD_GSE52778
FAM53A	-0.706383	0.999906	OLD_GSE52778
FAM53B	0.383987	0.999906	OLD_GSE52778
FAM53C	0.0108867	0.999906	OLD_GSE52778
FAM54A	-0.390669	0.999906	OLD_GSE52778
FAM54B	0.0130617	0.999906	OLD_GSE52778
FAM55A	0.36741	1	OLD_GSE52778
FAM55B	0.903304	1	OLD_GSE52778
FAM55C	0.236577	0.999906	OLD_GSE52778
FAM55D	-1.72983	1	OLD_GSE52778
FAM57A	-0.03463	0.999906	OLD_GSE52778
FAM57B	1.79769e+308	1	OLD_GSE52778
